topic_id	topic_title	basesubtopic_title	basesubtopic_id
4218	Early Number (add/sub)	Add and subtract single digit numbers - mixed set 2789, 2797, 2825	8435
4218	Early Number (add/sub)	Use the bridge to 10 strategy for addition/subtraction (single and two digit)	2827
4218	Early Number (add/sub)	Use the compensation strategy for addition/subtraction (single and two digit)	2828
4218	Early Number (add/sub)	Use number lines as a strategy for addition/subtraction (single and two digit)	2829
4218	Early Number (add/sub)	Use strategies to add and subtract two digit numbers	2830
4218	Early Number (add/sub)	Use strategies to add and subtract across the 100	2831
4218	Early Number (add/sub)	Use strategies to add/subtract - mixed set 2827, 2828, 2829, 2830, 2831	8436
4218	Early Number (add/sub)	Connect addition and subtraction	2832
4218	Early Number (add/sub)	Use rounding to estimate solutions for addition and subtraction	3254
4218	Early Number (add/sub)	Add multiples of 10's to single digit numbers	2833
4218	Early Number (add/sub)	Add multiples of 10's to two digit numbers	2834
4218	Early Number (add/sub)	Subtract multiples of 10's from two digit numbers	2835
4218	Early Number (add/sub)	Add/subtract multiples of 10's - mixed set 2833, 2834, 2835	8437
4218	Early Number (add/sub)	Add multiples of 100's to single digit numbers	2836
4218	Early Number (add/sub)	Add multiples of 100's to two digit numbers	2837
4218	Early Number (add/sub)	Subtract multiples of 100's from three digit numbers	2838
4218	Early Number (add/sub)	Add/subtract multiples of 100's - mixed set 2836, 2837, 2838	8438
4218	Early Number (add/sub)	Identify and use patterns with addition problems (x + xx) (no regrouping)	2839
4218	Early Number (add/sub)	Identify and use patterns with addition problems (x + xx) (with regrouping)	2840
4218	Early Number (add/sub)	Identify and use patterns with subtraction problems (xx - x) (no regrouping)	2841
4218	Early Number (add/sub)	Identify and use patterns with subtraction problems (xx - x) (with regrouping)	2842
4218	Early Number (add/sub)	Identify and use patterns with addition and subtraction - mixed set 2839, 2840, 2841, 2842	8439
4218	Early Number (add/sub)	Identify and use patterns with addition (with and without regrouping)	2843
4218	Early Number (add/sub)	Identify and use patterns with subtraction (with and without regrouping)	2844
4218	Early Number (add/sub)	Identify and use patterns with addition and subtraction (with and without regrouping)	2845
4218	Early Number (add/sub)	Identify and use patterns with addition and subtraction (with 3 and 2 digit numbers)	2846
4218	Early Number (add/sub)	Identify and use patterns with addition and subtraction - mixed set 2843, 2844, 2845, 2846	8440
4218	Early Number (add/sub)	Write and match word and number sentences using addition or subtraction for a 2 step problem	2826
4218	Early Number (add/sub)	Complete addition or subtraction statements to make a target number up to 20	2847
4218	Early Number (add/sub)	Complete addition or subtraction statements to make a target number up to 50	2848
4218	Early Number (add/sub)	Complete addition or subtraction statements to make a target number up to 100	2849
4218	Early Number (add/sub)	Complete addition or subtraction statements to make a target number - mixed set 2847, 2848, 2849	8441
4218	Early Number (add/sub)	Add missing elements to balance an equation with totals up to 20 (add/sub)	2850
4218	Early Number (add/sub)	Add missing elements to balance an equation with totals up to 50 (add/sub) (Yr 4)	2851
4218	Early Number (add/sub)	Add missing elements to balance an equation  - mixed set 2850, 2851	8442
4218	Early Number (add/sub)	Add 3 numbers (x + x + xx)	2853
4218	Early Number (add/sub)	Add 3 numbers (x + xx + xx)	2854
4218	Early Number (add/sub)	Add 3 numbers (xxx+xx+x)	2855
4218	Early Number (add/sub)	Add 3 numbers - mixed set 2853, 2854, 2855	8443
4218	Early Number (add/sub)	Add and subtract three digit numbers without regrouping	2856
4218	Early Number (add/sub)	Add and subtract three digit numbers requiring regrouping	2857
4218	Early Number (add/sub)	Add and subtract four digit numbers without regrouping	2858
4218	Early Number (add/sub)	Add and subtract four digit numbers requiring regrouping	2859
4218	Early Number (add/sub)	Add and subtract 3 and 4 digit numbers	8444
4218	Early Number (add/sub)	Add and subtract large numbers without regrouping	2860
4218	Early Number (add/sub)	Add and subtract large numbers requiring regrouping	2861
4218	Early Number (add/sub)	Add and subtract large numbers - mixed set 2860, 2861	8445
4218	Early Number (add/sub)	Mixed additions - mixed set 2845, 2846, 2849, 2855, 2860, 2861	318
4218	Early Number (add/sub)	Mixed subtractions - mixed set 2845, 2846, 2849, 2855, 2860, 2861	436
4218	Early Number (add/sub)	Solve contextual 1 step problems using addition and subtraction	2862
4218	Early Number (add/sub)	Solve contextual 2 step problems using addition and subtraction	2863
4218	Early Number (add/sub)	Solve contextual 2 and 3 step problems using addition and subtraction	4141
4218	Early Number (add/sub)	Solve contextual 3 step problems using addition and subtraction	4142
4218	Early Number (add/sub)	Contextual 1 and 2 step problems - mixed set 2861, 2863	8446
4218	Early Number (add/sub)	Contextual 1,  2 and 3 step problems - mixed set 2861, 2863, 4141	8447
4218	Early Number (add/sub)	Contextual 1,  2 and 3 step problems - mixed set 2861, 2863, 4141, 4142, 2864	8448
4218	Early Number (add/sub)	Addition and subtraction problems involving angles	2864
4218	Early Number (add/sub)	Inequalities with addition and subtraction statements (2 digit)	2852
4218	Early Number (add/sub)	Addition and Subtraction with an Abacus (Investigation) LIVE	3430
4218	Early Number (add/sub)	TBD - Addition (Yr 5)	974
4218	Early Number (add/sub)	TBD - Subtraction (Yr 5)	975
4219	Early Number (mult/div)	Connect repeated addition and multiplication (1,2,3,5,10) (Yr 3)	3186
4219	Early Number (mult/div)	Recognise products from images and statements (1,2,3,5,10) (Yr 3)	2866
4219	Early Number (mult/div)	Recognise and interpret products from arrays (1,2,3,5,10) (Yr 3)	2868
4219	Early Number (mult/div)	Solve multiplication and division problems using groups (1,2,3,5,10) (Yr 3)	2870
4219	Early Number (mult/div)	Solve multiplication and division problems using arrays (1,2,3,5,10) (Yr 3)	2872
4219	Early Number (mult/div)	Find unknowns in multiplication and division problems (1,2,3) (Yr 3)	2874
4219	Early Number (mult/div)	Find unknowns in multiplication and division problems (5,10) (Yr 3)	2875
4219	Early Number (mult/div)	Multiplication and division (finding unknowns (1,2,3,5,10) (Yr 3)	2876
4219	Early Number (mult/div)	Complete multiplication and division facts in a table (1,2,3,5,10) (Yr 3)	2880
4219	Early Number (mult/div)	Use turn arounds and fact families to solve multiplication and division problems (1,2,3,5,10) (Yr 3)	2882
4219	Early Number (mult/div)	Use number sentences to solve multiplication and division problems involving objects or words (1,2,3	2886
4219	Early Number (mult/div)	Extend basic facts involving multiplication and division using patterns (1,2,3,5,10) (Yr 3)	2888
4219	Early Number (mult/div)	Solve single step problems involving multiplication or division (1,2,3,5,10) (Yr 3)	2890
4219	Early Number (mult/div)	How do we know if the calculator is correct?  (Investigation) LIVE	4460
4219	Early Number (mult/div)	Connect repeated addition and multiplication (10x10) (Yr 4)	2865
4219	Early Number (mult/div)	Recognise products from images and statements (10x10) (Yr 4)	2867
4219	Early Number (mult/div)	Recognise and interpret products from arrays (10x10) (Yr 4)	2869
4219	Early Number (mult/div)	Solve multiplication and division problems using groups (10x10) (Yr 4)	2871
4219	Early Number (mult/div)	Solve multiplication and division problems using arrays (10x10) (Yr 4)	2873
4219	Early Number (mult/div)	Find unknowns in multiplication and division problems (0,1,2,4,8) (Yr 4)	2877
4219	Early Number (mult/div)	Find unknowns in multiplication and division problems (3,6,7,9) (Yr 4)	2878
4219	Early Number (mult/div)	Find unknowns in multiplication and division problems (mixed set) (Yr 4)	2879
4219	Early Number (mult/div)	Complete multiplication and division facts in a table (10x10) (Yr 4)	2881
4219	Early Number (mult/div)	Use turn arounds and fact families to solve multiplication and division problems (10x10) (Yr 4)	2883
4219	Early Number (mult/div)	Find quotients (10x10) (Yr 4)	2884
4219	Early Number (mult/div)	Use number sentences to solve multiplication and division problems (10x10) (Yr 4)	2887
4219	Early Number (mult/div)	Perform multiplication and division by 10 (Yr 4)	2894
4219	Early Number (mult/div)	Extend basic facts involving multiplication and division using patterns (Yr 4)	2889
4219	Early Number (mult/div)	Solve one or two step problems involving multiplication or division (10x10) (Yr 4)	2891
4219	Early Number (mult/div)	Use and identify the properties of multiplication (Yr 4)	2885
4219	Early Number (mult/div)	Connect repeated addition and multiplication (15x15) (Yr 5)	3244
4219	Early Number (mult/div)	Recognise products from images and statements (15x15) (Yr 5)	3245
4219	Early Number (mult/div)	Recognise and interpret products from arrays (15x15) (Yr 5)	3246
4219	Early Number (mult/div)	Solve multiplication and division problems using groups (15x15) (Yr 5)	3247
4219	Early Number (mult/div)	Solve multiplication and division problems using arrays (15x15) (Yr 5)	3248
4219	Early Number (mult/div)	Whole Multiplication Tables	4121
4219	Early Number (mult/div)	Complete multiplication and division facts in a table (15x15) (Yr 5)	3249
4219	Early Number (mult/div)	Find quotients (15x15) (Yr 5)	3250
4219	Early Number (mult/div)	Use number sentences to solve multiplication and division problems (15x15) (Yr 5)	3251
4219	Early Number (mult/div)	Perform multiplication and division by 10 and 100 (Yr 5)	3243
4219	Early Number (mult/div)	Extend basic facts involving multiplication and division using patterns (Yr 5)	3252
4219	Early Number (mult/div)	Solve one or two step problems involving multiplication or division (15x15) (Yr 5)	3253
4219	Early Number (mult/div)	Identify the distributive property for multiplication (single by double digit number) (Yr 5)	2892
4219	Early Number (mult/div)	Use the distributive property for multiplication (single by three digit number) (Yr 5)	2893
4219	Early Number (mult/div)	Use rounding to estimate solutions (Yr 5)	3255
4219	Early Number (mult/div)	Multiply a two digit number by a single digit number (<5) using an area model (Yr 5)	3684
4219	Early Number (mult/div)	Multiply a two digit number by a single digit number (<5) (Yr 5)	3685
4219	Early Number (mult/div)	Multiply a single digit number by a two digit number using an area model (Yr 5)	3686
4219	Early Number (mult/div)	Multiplication (a x aa) (Yr 5)	3687
4219	Early Number (mult/div)	Multiply a single digit number by a three digit number using an area model (Yr 5)	2895
4219	Early Number (mult/div)	Multiply a single digit number by a three digit number (Yr 5)	2896
4219	Early Number (mult/div)	Multiply a single digit number by a four digit number using an area model (Yr 5)	2897
4219	Early Number (mult/div)	Multiply a single digit number by a four digit number using algorithm (Yr 5)	2898
4219	Early Number (mult/div)	Multiply 2 two digit numbers using an area model (Yr 5)	2899
4219	Early Number (mult/div)	Multiply 2 two digit numbers (Yr 5)	2900
4219	Early Number (mult/div)	Multiply a two digit number by a 3 digit number (Yr 5)	2901
4219	Early Number (mult/div)	Multiply 3 numbers together (single, single and double digit numbers (Yr 5)	2902
4219	Early Number (mult/div)	Divide a 2 digit number by a 1 digit number using area or array model (Yr 5)	2903
4219	Early Number (mult/div)	Divide a 2 digit number by a 1 digit number (Yr 5)	2904
4219	Early Number (mult/div)	Divide a 3 digit number by a 1 digit number using area or array model (Yr 5)	2905
4219	Early Number (mult/div)	Divide a 3 digit number by a 1 digit number (Yr 5)	2906
4219	Early Number (mult/div)	Divide a 3 digit number by a 1 digit number using short division algorithm (Yr 5)	4324
4219	Early Number (mult/div)	Divide a 4 digit number by a 1 digit number using area or array model (Yr 5)	2907
4219	Early Number (mult/div)	Divide a 4 digit number by a 1 digit number (Yr 5)	2908
4219	Early Number (mult/div)	Divide a 3 digit number by a 1 digit number resulting in a remainder (Yr 5)	2909
4219	Early Number (mult/div)	Divide a 3 digit number by a 1 digit number using short division algorithm, with remainders (Yr 5)	4325
4219	Early Number (mult/div)	Multiply various single and double digit numbers (Yr 5)	979
4219	Early Number (mult/div)	Extend multiplicative strategies to larger numbers (Yr 5)	2289
4219	Early Number (mult/div)	Divide various numbers by single digits (Yr 5)	976
4219	Early Number (mult/div)	Solve division problems presented within contexts (Yr 5)	2290
4219	Early Number (mult/div)	Use number sentences to solve multiplication and division problems involving objects or words (Yr 6)	2910
4219	Early Number (mult/div)	Multiply various single, 2 and 3 digit numbers (Yr 6)	487
4219	Early Number (mult/div)	Divide various 4 digit numbers by 2 digit numbers (Yr 6)	527
4219	Early Number (mult/div)	Divide 4 digit number by a 1 digit number using short division algorithm (Yr 6)	4326
4219	Early Number (mult/div)	Divide 4 digit number by a 2 digit number using short division algorithm (Yr 6)	4327
4219	Early Number (mult/div)	Divide 4 digit number by a 1 digit number using long division algorithm (Yr 6)	4434
4219	Early Number (mult/div)	Divide 4 digit number by a 2 digit number using long division algorithm (Yr 6)	4435
4219	Early Number (mult/div)	Divide 4 digit number by a 1 digit number using long division algorithm, with remainders (Yr 6)	4436
4219	Early Number (mult/div)	Divide 4 digit number by a 2 digit number using long division algorithm, with remainders (Yr 6)	4437
4219	Early Number (mult/div)	Multiply numbers up to 4 digits using technology (Yr 6)	4328
4219	Early Number (mult/div)	Divide whole numbers by 1 and 2 digit divisors using technology (Yr 6)	4329
3382	Multiplication Tables	Multiplication x2	2611
3382	Multiplication Tables	Multiplication x4	2612
3382	Multiplication Tables	Multiplication x8	2613
3382	Multiplication Tables	Mixed Multiplications 2,4,8	2614
3382	Multiplication Tables	Multiplication x10	2615
3382	Multiplication Tables	Multiplication x5	2616
3382	Multiplication Tables	Mixed Multiplications 2,4,8,5,10	2617
3382	Multiplication Tables	Multiplication x3	2618
3382	Multiplication Tables	Multiplication x9	2619
3382	Multiplication Tables	Multiplication x6	2620
3382	Multiplication Tables	Multiplication x7	2621
3382	Multiplication Tables	Multiplication x11	2622
3382	Multiplication Tables	Multiplication x12	2623
3382	Multiplication Tables	Mixed Multiplications 2-12	2624
3382	Multiplication Tables	Extending multiplication to larger numbers	2625
3382	Multiplication Tables	Extending multiplication to smaller numbers	2626
3382	Multiplication Tables	Mixed set on extending multiplication	2627
4220	Early Number (proportion)	Proportions in units of measurement (imperial)	2916
4220	Early Number (proportion)	Multiplication as comparison of size (Yr 5)	2911
4220	Early Number (proportion)	Word problems with mult and comparison (Yr 5)	2912
4220	Early Number (proportion)	Word problems with div and comparison (Yr 5)	2913
4220	Early Number (proportion)	Word problems (mult/div) and comparison (Yr 5)	2914
4220	Early Number (proportion)	Proportions in units of measurement (metric) (Yr 5)	2915
4221	Early Number (4 ops and mixed)	Write number sentences that involve mixed operations (x1,2,3,5,10) (Yr 3)	2917
4221	Early Number (4 ops and mixed)	Balance statements with mixed operations (Yr 3)	2919
4221	Early Number (4 ops and mixed)	Solve problems with mixed operations (Yr 3)	2923
4221	Early Number (4 ops and mixed)	Write number sentences that involve mixed operations (x4,6,7,8,9) (Yr 4)	2918
4221	Early Number (4 ops and mixed)	Balance statements with mixed operations (Yr 4)	2920
4221	Early Number (4 ops and mixed)	Write number sentences and solve contextual problems, 4 operations (Yr 4)	2922
4221	Early Number (4 ops and mixed)	Check the reasonableness of calculations (Yr 5)	2291
4221	Early Number (4 ops and mixed)	Write number sentences with grouping symbols (Yr 6)	3273
4221	Early Number (4 ops and mixed)	Demonstrate understanding of order of operations and evaluate expressions (Yr 6)	790
4221	Early Number (4 ops and mixed)	Evaluate expressions that include grouping symbols (Yr 6)	3274
4221	Early Number (4 ops and mixed)	Balance statements with mixed operations (Yr 6)	2921
4221	Early Number (4 ops and mixed)	Write number sentences and solve contextual problems, includes grouping symbols (Yr 6)	2925
4221	Early Number (4 ops and mixed)	Addition VS Multiplication (Investigation) (YR 6) LIVE	3438
4221	Early Number (4 ops and mixed)	Use properties of operations (Yr 6)	872
4221	Early Number (4 ops and mixed)	Problem solving for a golf course (Investigation) LIVE	4461
4221	Early Number (4 ops and mixed)	A savings plan using multiplication or division (Investigation) LIVE	4462
4221	Early Number (4 ops and mixed)	Mental Maths Magician (Investigation) LIVE	4463
4221	Early Number (4 ops and mixed)	Solve a range of mixed questions involving 4 operations and brackets with number (Yr 6)	1017
4221	Early Number (4 ops and mixed)	TBD - Problem Solving with mixed operations (Yr 4/5)	2924
709	Whole Numbers	Add whole numbers using written methods	4339
709	Whole Numbers	Subtract whole numbers using written methods	4340
709	Whole Numbers	Multiply whole numbers using written methods	4341
709	Whole Numbers	Divide whole numbers using short division	4342
709	Whole Numbers	Divide whole numbers using long division	590
709	Whole Numbers	Calculate using whole numbers (1 operation) - mixed set 4339, 4340, 4341, 4342, 590	810
709	Whole Numbers	Check reasonableness of calculations	1658
709	Whole Numbers	Evaluate expressions using multiple operations (mixed set of 3274 and 790)	3554
709	Whole Numbers	Write mathematical statements from descriptions	959
709	Whole Numbers	Use technology to evaluate expressions with whole numbers	1440
709	Whole Numbers	Solve contextual problems involving whole numbers and mixed operations	972
709	Whole Numbers	Evaluate further expressions involving whole numbers	2680
709	Whole Numbers	Use technology to evaluate expressions with integer or rational numbers involving basic operations	1730
709	Whole Numbers	Estimation (Investigation)	3196
709	Whole Numbers	TBD - Order of Operations (SS)	1729
17528	Number Theory - Number properties	Evaluate expressions using distributive law a(b+c) = ab+ac	5506
17528	Number Theory - Number properties	Rewrite an addition expression using the distributive law	1350
17528	Number Theory - Number properties	Rewrite a subtraction expression using the distributive law	1351
17528	Number Theory - Number properties	Distributive law and addition and subtraction - mixed set 1350, 1351	5507
17528	Number Theory - Number properties	Evaluate expressions using commutative law for addition a+b = b+a	5508
17528	Number Theory - Number properties	Evaluate expressions using commutative law for multiplication ab = ba	5509
17528	Number Theory - Number properties	Evaluate expressions using  associative law for addition a+(b+c) = (a+b)+c	5510
17528	Number Theory - Number properties	Evaluate expressions using associative law for multiplication a(bc)=(ab)c	5511
17528	Number Theory - Number properties	Identify associative, distributive or commutative properties	5512
17528	Number Theory - Number properties	Identify and use the identity property of 1	5513
17528	Number Theory - Number properties	Identify and use the identity property of 0	5514
17528	Number Theory - Number properties	Associative, distributive and commutative properties of numbers - mixed set 5508, 5509, 5510, 5511	2795
17528	Number Theory - Number properties	Associative, distributive and commutative properties of numbers - mixed set 5508/09/10/11/12/13/14	3120
17529	Number Theory - Factors and multiples	Find factor pairs for numbers less than 100	2926
17529	Number Theory - Factors and multiples	Complete factor expressions for numbers less than 100	2927
17529	Number Theory - Factors and multiples	Determine specific factors for numbers less than 100	2928
17529	Number Theory - Factors and multiples	Use divisibility tests for 2,3,5,9,10	574
17529	Number Theory - Factors and multiples	Use divisibility tests for composite numbers	5516
17529	Number Theory - Factors and multiples	List all factors for a number	5631
17529	Number Theory - Factors and multiples	Identify highest common factor by inspection	5515
17529	Number Theory - Factors and multiples	Find and list multiples of numbers 2-10	2515
17529	Number Theory - Factors and multiples	Identify lowest common multiple by inspection	5517
17529	Number Theory - Factors and multiples	Factors and multiples - mixed set 2926, 2927, 2928, 2515	473
17529	Number Theory - Factors and multiples	Factors and multiples - mixed set 5631, 5515, 5517	960
17529	Number Theory - Factors and multiples	Multiple Scavenger Hunt (Investigation) LIVE	3431
17529	Number Theory - Factors and multiples	Solve word problems using multiples	425
17529	Number Theory - Factors and multiples	Locker Problem (Investigation) LIVE	4464
17530	Number Theory - Primes and composites	Create a list of primes using an Eratosthenes sieve (Investigation)	5518
17530	Number Theory - Primes and composites	Create a prime factorisation using a factor tree (Investigation)	5519
17530	Number Theory - Primes and composites	Classify numbers less than 100 as prime or composite	2929
17530	Number Theory - Primes and composites	List primes and identify properties of primes	547
17530	Number Theory - Primes and composites	Identify prime factorisation by using a factor tree	5520
17530	Number Theory - Primes and composites	Identify prime factorisation	5521
17530	Number Theory - Primes and composites	Prime factorisations - mixed set 5520, 5521	5522
17530	Number Theory - Primes and composites	TBD - Powers	758
17530	Number Theory - Primes and composites	Write composite numbers as powers of primes	617
17530	Number Theory - Primes and composites	Identify highest common factor by using prime factorisation	5523
17530	Number Theory - Primes and composites	Identify lowest common multiple by using prime factorisation	5524
17530	Number Theory - Primes and composites	Find HCF and LCM's from pairs of numbers	5633
17530	Number Theory - Primes and composites	HCF and LCM using prime factorisation - mixed set 5523, 5524, 5633	656
17530	Number Theory - Primes and composites	Evaluate square and cube roots using prime factorisation	708
17530	Number Theory - Primes and composites	HCF, LCM and Prime Factorisation - mixed set 5521, 617, 5523, 5524, 5633	1775
17530	Number Theory - Primes and composites	Factor tiles (Investigation) LIVE	3322
17531	Number Theory - Types of numbers	Classify numbers	1812
17531	Number Theory - Types of numbers	Identify palindrome numbers	5525
17531	Number Theory - Types of numbers	Identify triangular numbers, and triangular number pattern	5526
17531	Number Theory - Types of numbers	Identify square numbers, and square number pattern	5527
17531	Number Theory - Types of numbers	Identify cube numbers	5528
17531	Number Theory - Types of numbers	Special Numbers - mixed set 5525, 5526, 5527	212
17531	Number Theory - Types of numbers	Special Numbers - mixed set 5525, 5526, 5527, 5528	5529
17531	Number Theory - Types of numbers	Squares and Cubes - mixed set 5527, 5528	288
17532	Number Theory - Other number systems	Name and write Roman numerals	311
17532	Number Theory - Other number systems	Name and write Egyptian numbers	1431
17532	Number Theory - Other number systems	Name and write binary numbers	1432
17532	Number Theory - Other number systems	Name and write numbers with different bases	1761
17532	Number Theory - Other number systems	Perform operations on numbers in different bases	2749
711	Directed Numbers	What is a negative number?  (Investigation)	5530
711	Directed Numbers	Investigate situations that involve directed numbers	4152
711	Directed Numbers	Recognise and represent quantities as directed numbers	126
711	Directed Numbers	Integers in Banking and Weather (Investigation) LIVE	4155
711	Directed Numbers	World Temperatures (Investigation) LIVE	3300
711	Directed Numbers	Recognise and represent situations as directed numbers - mixed set 4152, 126	5531
711	Directed Numbers	Use a number line to plot and read off integer values	144
711	Directed Numbers	Identify which numbers are classified as integers	5532
711	Directed Numbers	Identify and compare integers - mixed set 5532, 1355, 1352	246
711	Directed Numbers	Identify integers and their opposites	1355
711	Directed Numbers	Compare directed numbers	1352
711	Directed Numbers	Add integers	319
711	Directed Numbers	Subtract integers	437
711	Directed Numbers	Add and subtract integers involving adjacent signs	450
711	Directed Numbers	Identify and use additive inverses	1375
711	Directed Numbers	Life-Size Number Line (Investigation) LIVE	3307
711	Directed Numbers	Solve problems involving addition and subtraction	4153
711	Directed Numbers	Add and subtract integers - mixed set 319, 437, 450	3195
711	Directed Numbers	Multiply integers	488
711	Directed Numbers	Divide integers	528
711	Directed Numbers	Multiply and divide with integers - mixed set 488, 528	5533
711	Directed Numbers	Add, subtract, multiply and divide with integers - mixed set 319, 437, 450, 488, 528	5534
711	Directed Numbers	Evaluate expressions with integers using order of operations	593
711	Directed Numbers	Evaluate expressions involving directed rational numbers	1378
711	Directed Numbers	Evaluate expressions involving squares and cubes of integers	560
711	Directed Numbers	Evaluate expressions involving integers - mixed set 593, 1378, 560	5535
711	Directed Numbers	Use a calculator to evaluate expressions with directed numbers	1447
711	Directed Numbers	Solve contextual problems involving 4 operations	3126
17763	Fractions - name and identify	Use fraction bars to name and identify fractions (2,3,4,5)	2930
17763	Fractions - name and identify	Use fraction bars to name and identify fractions (2,3,4,5,6,8,10)	2933
17763	Fractions - name and identify	Use fraction bars to name and identify fractions (7,9,11,13,14,15,16,17,18,19)	5700
17763	Fractions - name and identify	Use fraction bars to name and identify fractions - mixed set 2932, 5700	5701
17763	Fractions - name and identify	Use number lines to name, identify and plot fractions (2,3,4,5)	2934
17763	Fractions - name and identify	Use number lines to name, identify and plot fractions (2,3,4,5,6,8,10)	2937
17763	Fractions - name and identify	Use number lines to name, identify and plot fractions (7,9,11,13,14,15,16,17,18,19)	5702
17763	Fractions - name and identify	Use number lines to name, identify and plot fractions - mixed set 2936, 5702	3199
17763	Fractions - name and identify	Use area model to name, identify and create fractions (2,3,4,5)	2938
17763	Fractions - name and identify	Use area model to name, identify and create fractions (2,3,4,5,6,8,10)	2941
17763	Fractions - name and identify	Use area model to name, identify and create fractions (composite denominators from times tables)	3221
17763	Fractions - name and identify	Identify the value of fractions from area models or number lines	980
17763	Fractions - name and identify	Name and identify fractions - mixed set 3221, 980	5704
17763	Fractions - name and identify	Identify the value of fractions from area models or number lines (non-unit)	207
17763	Fractions - name and identify	Use collection of objects to name and identify fractions (2,3,4,5)	2942
